week,team,def_tackles_solo,def_tackles_with_assist,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended
1,ARI,33,1,5,22,1,3,5,1,6
1,BAL,32,1,6,24,1,2,9,1,4
1,CIN,41,0,5,24,4,4,6,0,1
1,CLE,24,2,4,17,1,1,3,0,1
1,DEN,33,2,3,14,0,2,5,1,4
1,GB,45,1,4,16,0,3,6,1,2
1,MIA,37,0,7,22,0,0,2,2,5
1,MIN,45,3,7,26,2,4,15,1,4
1,SF,33,0,2,2,2,0,8,1,4
1,TEN,31,1,2,9,0,0,1,0,2
1,WAS,32,0,10,39,0,3,5,0,2
2,ARI,39,1,6,33,2,1,3,0,3
2,BAL,44,0,7,38,0,3,4,0,2
2,CIN,40,2,8,49,0,4,7,0,8
2,CLE,43,2,7,23,1,3,5,1,3
2,DEN,36,1,5,22,0,2,7,1,7
2,GB,40,5,9,28,0,4,10,0,4
2,MIA,28,0,1,1,0,0,2,0,0
2,MIN,41,0,5,33,1,4,10,1,7
2,SF,28,0,5,16,1,4,5,0,2
2,TEN,41,2,8,25,0,3,6,2,2
2,WAS,39,0,3,14,0,2,6,0,2
