week,player_name,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_yards_after_catch,receiving_epa,racr,target_share,wopr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation
1,J.Meyers,1,2,0,0,0.40403432701714337,2,2,40,1,0,11,4.742745386785828,1.3793103448275863,0.09523809523809523,0.226741440377804,NA,NA,NA,NA,NA,NA,NA
1,C.Lamb,1,0,0,0,-0.837553194956854,5,8,44,1,0,19,5.593274411454331,0.4888888888888889,0.26666666666666666,0.6038834951456311,5.368571428571428,3.040398988549592,11.49625,35.918765866041795,4.100000000000001,2.747111149951617,1.3528888500483842
1,N.Collins,1,7,0,0,0.906610255362466,7,10,75,1,0,8,4.906799838790158,0.625,0.2702702702702703,0.6662749706227967,4.039,1.1074359906456532,12.618,43.62165525824518,1.28,0.9886963711658916,0.29130362883410843
1,D.Vele,0,0,0,0,NA,7,9,69,1,0,18,4.85687719885027,1.0952380952380953,0.17307692307692307,0.3509197324414715,6.17,3.047507383013112,7.084444444444444,13.875650149071836,3.1099999999999994,3.290331183061371,-0.18033118306137164
1,A.Mitchell,0,0,0,0,NA,3,3,60,0,0,1,3.093464803416282,1.0169491525423728,0.13043478260869565,0.44148550724637675,NA,NA,NA,NA,NA,NA,NA
1,M.Lemon,0,0,0,0,NA,3,4,-5,0,0,3,-3.8851848086342216,0,0.18181818181818182,0.2727272727272727,NA,NA,NA,NA,NA,NA,NA
2,J.Meyers,0,0,0,0,NA,1,1,28,0,0,7,3.1389610526384786,1.3333333333333333,0.03571428571428571,0.10224692526017029,NA,NA,NA,NA,NA,NA,NA
2,C.Lamb,0,0,0,0,NA,8,9,153,2,0,28,11.368333244631845,1.125,0.2903225806451613,0.8256478053939714,5.02625,2.8748081645547985,16.151111111111113,57.40916271721959,3.6325000000000003,2.824591666116172,0.8079083338838284
2,D.Vele,0,0,0,0,NA,5,7,64,0,0,13,5.427399358944967,0.927536231884058,0.21875,0.5548855633802817,6.9871428571428575,1.8173009778271465,9.405714285714282,37.95250172930595,2.770000000000003,3.7377364007922664,-0.9677364007922633
2,A.Mitchell,0,0,0,0,NA,6,12,63,0,0,25,5.550797904026695,0.3539325842696629,0.3333333333333333,0.996414342629482,8.668181818181818,2.6973512910132023,14.873333333333335,67.56511205330104,4.161666666666667,4.255550223286044,-0.0938835566193772
2,M.Lemon,1,-5,0,0,-1.328937416896224,1,1,14,0,0,1,2.494666001526639,1.0769230769230769,0.029411764705882353,0.07528203062046736,NA,NA,NA,NA,NA,NA,NA
